"סה"כ  מושמים","מספר מושמים  מרשויות אחרות","מספר מושמים  ברשות נבחרת","האם בסכנת  צונאמי","שם שלוחה","שם מסגרת","סמל מסגרת","רשות שולחת","תוכנית","סוג מסגרת","סוג סידור","יחידה אחראית","מינהל"
3,3,0,"לא"," ","משפחת אומנה -  שם חסוי",14724,"גוש עציון","אומנת חירום","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,1,0,"לא"," ","משפחת אומנה -  שם חסוי",15566,"גוש עציון","אומנת חירום","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,1,0,"לא"," ","משפחת אומנה -  שם חסוי",3864,"גוש עציון","משפחת אומנה","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,1,0,"לא"," ","משפחת אומנה -  שם חסוי",5912,"גוש עציון","משפחת אומנה","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,1,0,"לא"," ","משפחת אומנה -  שם חסוי",10226,"גוש עציון","משפחת אומנה","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,1,0,"לא"," ","משפחת אומנה -  שם חסוי",11936,"גוש עציון","משפחת אומנה","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
2,2,0,"לא"," ","משפחת אומנה -  שם חסוי",12005,"גוש עציון","משפחת אומנה","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,1,0,"לא"," ","משפחת אומנה -  שם חסוי",12185,"גוש עציון","משפחת אומנה","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
2,2,0,"לא"," ","משפחת אומנה -  שם חסוי",12584,"גוש עציון","משפחת אומנה","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,1,0,"לא"," ","משפחת אומנה -  שם חסוי",12733,"גוש עציון","משפחת אומנה","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,1,0,"לא"," ","משפחת אומנה -  שם חסוי",12743,"גוש עציון","משפחת אומנה","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,1,0,"לא"," ","משפחת אומנה -  שם חסוי",13776,"גוש עציון","משפחת אומנה","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,1,0,"לא"," ","משפחת אומנה -  שם חסוי",13822,"גוש עציון","משפחת אומנה","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,1,0,"לא"," ","משפחת אומנה -  שם חסוי",13834,"גוש עציון","משפחת אומנה","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
2,2,0,"לא"," ","משפחת אומנה -  שם חסוי",14811,"גוש עציון","משפחת אומנה","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,1,0,"לא"," ","משפחת אומנה -  שם חסוי",14992,"גוש עציון","משפחת אומנה","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,0,1,"לא"," ","משפחת אומנה -  שם חסוי",15540,"גוש עציון","משפחת אומנה","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
25,2,23,"לא"," ","מ.לטיפול פגיעות.מ",217451,"גוש עציון","מרכז טיפול בנפגעי תקיפה מינית בגירים","מרכז טיפולי","בקהילה","רווחת הפרט ומש`","מינהל שירותים אישיים וחברתיים"
16,0,16,"לא"," ","מ.ל.אלימות גוש עציון",217224,"גוש עציון","מרכז למניעת אלימות במשפחה","מרכז למניעת אלימות","בקהילה","רווחת הפרט ומש`","מינהל שירותים אישיים וחברתיים"
13,4,9,"לא"," ","י"ש אור מרכז חוסן",216988,"גוש עציון","מרכז טיפול בתחום אובדן ושכול","תחנה לטיפול המשפחה","בקהילה","רווחת הפרט ומש`","מינהל שירותים אישיים וחברתיים"
13,0,13,"לא"," ","תחנה לטיפול זוגי משפ",221494,"גוש עציון","תחנה לטיפול זוגי ומשפחתי","תחנה לטיפול המשפחה","בקהילה","רווחת הפרט ומש`","מינהל שירותים אישיים וחברתיים"
15,0,15,"לא"," ","מטל נערים במצוקה",211861,"גוש עציון","בית חם","בית חם","בקהילה","נוער וצעירים","מינהל שלם"
11,1,10,"לא"," ","יתד לקידום בתעסוקה",213755,"גוש עציון","מרכז הזדמנות","שילוב בתעסוקה","בקהילה","נוער וצעירים","מינהל שלם"
12,0,12,"לא"," ","גוש עציון-ט.נוער בהת",206006,"גוש עציון","יחידה לטיפול בהתמכרויות","טיפול יום","בקהילה","נפגעי התמכרויות","מינהל שלם"
16,3,13,"לא"," ","התמכרויות מבוגרים",221653,"גוש עציון","יחידה לטיפול בהתמכרויות","טיפול יום","בקהילה","נפגעי התמכרויות","מינהל שלם"
17,0,17,"לא"," ","מטר"א מבוגרים",214729,"גוש עציון","מרכז מטרא","טיפול יום","בקהילה","נפגעי התמכרויות","מינהל שלם"
9,0,9,"לא"," ","בית חם-גוש עציון",209279,"גוש עציון","בית חם","בית חם","בקהילה","נשים ונערות","מינהל שלם"
