"YearMonth 1","תאריך","משפחות מקבלות שירות חדשות שלא היו מוכרות בעבר בר...","משפחות מקבלות שירות חדשות שהיו מוכרות בעבר ברווח...","סה"כ פתיחות תיקים החודש"
"202506","06/2025",16,-1,15
"202507","07/2025",18,-6,12
"202508","08/2025",16,7,23
"202509","09/2025",15,10,25
"202510","10/2025",18,2,20
"202511","11/2025",19,16,35
"202512","12/2025",19,2,21
"202601","01/2026",18,2,20
"202602","02/2026",8,6,14
"202603","03/2026",8,5,13
"202604","04/2026",4,1,5
"202605","05/2026",12,4,16
