"All_Authorities","סוג מסגרת","ADMIN_DESC","UNIT_DESC","Arrangement_Type_Descr","מושמים ברשות הנוכחית","מושמים ברשות אחרת"
160,"מרכז טיפולי","מינהל שירותים אישיים וחברתיים","ילד ונוער","בקהילה",160,0
95,"מועדון/מרכז קהילתי","מינהל אזרחים ותיקים","אזרחים ותיקים","בקהילה",84,11
80,"מועדון/מרכז קהילתי","מינהל שירותים אישיים וחברתיים","ילד ונוער","בקהילה",80,0
41,"טיפול יום","מינהל שלם","נפגעי התמכרויות","בקהילה",41,0
40,"מעון יום","מינהל מוגבלויות","אגף משה","בקהילה",25,15
40,"מעטפת","מינהל מוגבלויות","שיקום ונכים","בקהילה",39,1
36,"תעסוקה מוגנת )מע"ש(","מינהל מוגבלויות","אגף משה","בקהילה",11,25
35,"מעון יום","מינהל שירותים אישיים וחברתיים","ילד ונוער","בקהילה",34,1
32,"סביבה תומכת","מינהל אזרחים ותיקים","אזרחים ותיקים","בקהילה",32,0
28,"מועדונית","מינהל שירותים אישיים וחברתיים","ילד ונוער","בקהילה",27,1
28,"מערך דיור/דירת לוין","מינהל מוגבלויות","אגף משה","חוץ ביתי",1,27
25,"מרכז טיפולי","מינהל שירותים אישיים וחברתיים","רווחת הפרט ומש`","בקהילה",23,2
22,"תחנה לטיפול המשפחה","מינהל שירותים אישיים וחברתיים","רווחת הפרט ומש`","בקהילה",22,0
16,"מרכז למניעת אלימות","מינהל שירותים אישיים וחברתיים","רווחת הפרט ומש`","בקהילה",16,0
15,"בית חם","מינהל שלם","נוער וצעירים","בקהילה",15,0
14,"מערך דיור/דירת לוין","מינהל מוגבלויות","שיקום ונכים","חוץ ביתי",5,9
13,"פנימיה","מינהל שירותים אישיים וחברתיים","ילד ונוער","חוץ ביתי",0,13
10,"נופשון","מינהל מוגבלויות","אגף משה","בקהילה",0,10
10,"שילוב בתעסוקה","מינהל שלם","נוער וצעירים","בקהילה",10,0
9,"בית חם","מינהל שלם","נשים ונערות","בקהילה",9,0
9,"הוסטל","מינהל מוגבלויות","אגף משה","חוץ ביתי",7,2
7,"מעון יום","מינהל מוגבלויות","שיקום ונכים","בקהילה",5,2
6,"דירת המשך","מינהל שלם","נשים ונערות","חוץ ביתי",0,6
6,"מעון יום","מינהל מוגבלויות","אוטיסטים","בקהילה",0,6
6,"פנימיה","מינהל מוגבלויות","אגף משה","חוץ ביתי",0,6
6,"פנימיה","מינהל מוגבלויות","אוטיסטים","חוץ ביתי",0,6
5,"תעסוקה ניתמכת","מינהל מוגבלויות","שיקום ונכים","בקהילה",0,5
4,"מערך דיור/דירת לוין","מינהל מוגבלויות","אוטיסטים","חוץ ביתי",0,4
4,"מש` אומנה","מינהל שירותים אישיים וחברתיים","ילד ונוער","חוץ ביתי",1,3
4,"תוכנית מעבר","מינהל מוגבלויות","שיקום ונכים","בקהילה",0,4
3,"מועדון/מרכז קהילתי","מינהל מוגבלויות","אוטיסטים","בקהילה",0,3
3,"מרכז חירום","מינהל שירותים אישיים וחברתיים","ילד ונוער","חוץ ביתי",0,3
3,"מרכז טיפולי","מינהל מוגבלויות","שיקום ונכים","בקהילה",0,3
3,"פנימיה","מינהל מוגבלויות","השרות לעיוור","חוץ ביתי",0,3
2,"טיפול יום","מינהל שלם","שיקום הנוער","בקהילה",0,2
2,"מעון יום","מינהל מוגבלויות","השרות לעיוור","בקהילה",0,2
2,"מרכז הורים ילדים","מינהל שירותים אישיים וחברתיים","ילד ונוער","בקהילה",0,2
2,"מרכז רב שרותים","מינהל מוגבלויות","השרות לעיוור","בקהילה",0,2
2,"פנימיה","מינהל שלם","חסות הנוער","חוץ ביתי",0,2
2,"קהילה טיפולית","מינהל שלם","חסות הנוער","חוץ ביתי",0,2
2,"תמיכה ביתית","מינהל שירותים אישיים וחברתיים","ילד ונוער","בקהילה",2,0
1,"הוסטל","מינהל מוגבלויות","אוטיסטים","חוץ ביתי",0,1
1,"מועדון/מרכז קהילתי","מינהל שלם","נוער וצעירים","בקהילה",0,1
1,"מועדונית שיקומית","מינהל מוגבלויות","שיקום ונכים","בקהילה",0,1
1,"מרכז שיקום","מינהל מוגבלויות","אוטיסטים","בקהילה",0,1
1,"סדנאות מעבר","מינהל מוגבלויות","שיקום ונכים","בקהילה",0,1
1,"פנימיה","מינהל אזרחים ותיקים","אזרחים ותיקים","חוץ ביתי",0,1
1,"תעסוקה מוגנת )מע"ש(","מינהל מוגבלויות","שיקום ונכים","בקהילה",0,1
