"סכום  לתשלום","סה"כ  מסגרות","מספר מסגרות  ברשויות אחרות","מספר מסגרות  ברשות הנבחרת","סה"כ  מושמים","מספר מושמים  ברשויות אחרות","מספר מושמים  ברשות הנבחרת","סעיף תקציבי","סוג מסגרת","סוג סידור","יחידה אחראית","מינהל"
120786,6,5,1,9,8,1,"0723010  אחזקת נכים בפנימיות","מערך דיור/דירת לוין","חוץ ביתי","שיקום ונכים","מינהל מוגבלויות"
74332,2,1,1,5,1,4,"0723020  החזקת אוטיסטים במסגרות","מערך דיור/דירת לוין","חוץ ביתי","שיקום ונכים","מינהל מוגבלויות"
8470,1,0,1,55,0,55,"1038417  תכנית עם הפנים לקהיל","מועדון/מרכז קהילתי","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
3850,1,0,1,25,0,25,"1039440  טיפול בילד בקהילה","מועדון/מרכז קהילתי","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
43691.16,3,1,2,28,1,27,"1039440  טיפול בילד בקהילה","מועדונית","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
79569.81,13,1,12,35,1,34,"1039010  ילדים במעונות יום","מעון יום","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1251.87,1,1,0,2,2,0,"1039440  טיפול בילד בקהילה","מרכז הורים ילדים","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
14863.93,2,0,2,21,0,21,"1038400  ת. לאומית ילד ונוער","מרכז טיפולי","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
12614,2,0,2,17,0,17,"1038417  תכנית עם הפנים לקהיל","מרכז טיפולי","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
90428.24,4,0,4,122,0,122,"1039440  טיפול בילד בקהילה","מרכז טיפולי","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
2186,1,0,1,2,0,2,"1039440  טיפול בילד בקהילה","תמיכה ביתית","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
5280,1,1,0,3,3,0,"1039440  טיפול בילד בקהילה","מרכז חירום","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
11282,3,2,1,4,3,1,"1038410  אחזקת ילדים בפנימיות","מש` אומנה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
192124.8,10,10,0,13,13,0,"1038410  אחזקת ילדים בפנימיות","פנימיה","חוץ ביתי","ילד ונוער","מינהל שירותים אישיים וחברתיים"
34500.09,3,2,1,25,2,23,"1039734  פגיעות מיניות בגירים","מרכז טיפולי","בקהילה","רווחת הפרט ומש`","מינהל שירותים אישיים וחברתיים"
5295.77,1,0,1,16,0,16,"1039730  מרכזי טיפול באלימות","מרכז למניעת אלימות","בקהילה","רווחת הפרט ומש`","מינהל שירותים אישיים וחברתיים"
7788,1,0,1,6,0,6,"1039440  טיפול בילד בקהילה","תחנה לטיפול המשפחה","בקהילה","רווחת הפרט ומש`","מינהל שירותים אישיים וחברתיים"
9522,1,0,1,9,0,9,"1039790  טיפול אובדןושכול","תחנה לטיפול המשפחה","בקהילה","רווחת הפרט ומש`","מינהל שירותים אישיים וחברתיים"
