"מגדר","קבוצת גיל","מספר אזרחים וותיקים"
"זכר","67 - 75",47
"זכר","76 - 85",54
"זכר","86+",45
"נקבה","62 - 66",24
"נקבה","67 - 75",69
"נקבה","76 - 85",106
"נקבה","86+",44
