"אשכול","_Cnt_Mekabli_Shirut_New","מאפיין","מקבלי שירות","אחוז מקבלי שירות","TOTAL_NO_NIZAKAKOT_TEXT"
"מוגבלות גופנית, חושית, נירו-קוגנטיבית או נפשית",49,"הפרעות מאובחנות ברצף האוטיסטי (ASD)",49,0.141210375," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מוגבלות גופנית, חושית, נירו-קוגנטיבית או נפשית",19,"מוגבלות שכלית התפתחותית מאובחנת",19,0.054755043," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מוגבלות גופנית, חושית, נירו-קוגנטיבית או נפשית",18,"לקות למידה ו/או הפרעת קשב וריכוז מאובחנת",18,0.051873199," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מוגבלות גופנית, חושית, נירו-קוגנטיבית או נפשית",16,"יסוד סביר לילד על הרצף האוטיסטי (ASD)",16,0.04610951," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מוגבלות גופנית, חושית, נירו-קוגנטיבית או נפשית",16,"מחלה כרונית או פגיעה גופנית או תסמונת גנטית",16,0.04610951," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מוגבלות גופנית, חושית, נירו-קוגנטיבית או נפשית",14,"עיכוב התפתחותי מאובחן",14,0.040345821," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מוגבלות גופנית, חושית, נירו-קוגנטיבית או נפשית",12,"יסוד סביר לעיכוב התפתחותי",12,0.034582133," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מוגבלות גופנית, חושית, נירו-קוגנטיבית או נפשית",7,"מצב בריאותי אקוטי ו/או זמני",7,0.020172911," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מוגבלות גופנית, חושית, נירו-קוגנטיבית או נפשית",6,"יסוד סביר ללקות למידה ו/או הפרעת קשב וריכוז",6,0.017291066," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מוגבלות גופנית, חושית, נירו-קוגנטיבית או נפשית",6,"מחלה או הפרעה נפשית",6,0.017291066," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מוגבלות גופנית, חושית, נירו-קוגנטיבית או נפשית",5,"חירשות או מוגבלות שמיעה מאובחנת",5,0.014409222," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מוגבלות גופנית, חושית, נירו-קוגנטיבית או נפשית",5,"עיוורון או מוגבלות ראייה מאובחנת",5,0.014409222," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מוגבלות גופנית, חושית, נירו-קוגנטיבית או נפשית",3,"יסוד סביר למחלה או הפרעה נפשית",3,0.008645533," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מוגבלות גופנית, חושית, נירו-קוגנטיבית או נפשית",3,"תפקוד שכלי גבולי - מוגבלות נירו-קוגנטיבית מאובחנת",3,0.008645533," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מוגבלות גופנית, חושית, נירו-קוגנטיבית או נפשית",2,"יסוד סביר למוגבלות שכלית התפתחותית",2,0.005763689," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מוגבלות גופנית, חושית, נירו-קוגנטיבית או נפשית",1,"יסוד סביר לחירשות או מוגבלות  שמיעה",1,0.002881844," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מוגבלות גופנית, חושית, נירו-קוגנטיבית או נפשית",1,"יסוד סביר לעיוורון או מוגבלות  ראיה",1,0.002881844," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מוגבלות גופנית, חושית, נירו-קוגנטיבית או נפשית",1,"מוגבלות מוטורית מאובחנת",1,0.002881844," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מצבי חיים מיוחדים",90,"משפחה מורכבת",90,0.259365994," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מצבי חיים מיוחדים",30,"נער/נערה בסיכון",30,0.086455331," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מצבי חיים מיוחדים",25,"עולה",25,0.07204611," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מצבי חיים מיוחדים",17,"נפגעי תקיפה מינית",17,0.048991354," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מצבי חיים מיוחדים",12,"אובדן ושכול",12,0.034582133," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מצבי חיים מיוחדים",9,"יליד הארץ בן/בת להורה עולה",9,0.025936599," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מצבי חיים מיוחדים",5,"חסר ישע",5,0.014409222," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מצבי חיים מיוחדים",3,"מקור השכול",3,0.008645533," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"מצבי חיים מיוחדים",2,"נפגע/ת עבירה פלילית",2,0.005763689," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
"שעת חירום",11,"חשיפה לאירוע מחולל טראומה",11,0.031700288," (71.33%) 841                                                                                                                                                                                                                                                    - לא זוהה מאפיין"
