"אשכול","#Cnt_File_ID_New","שם נזקקות","משפחות מקבלות שירות","אחוז משפחות מקבלות שירות מסך משפחות מקבלות שירות...","סך משפחות מקבלות שירות פעילות"
"עוני והדרה",51,"אי בטחון תזונתי",51,0.095684803,533
"עוני והדרה",35,"עוני רב מימדי מתמשך",35,0.065666041,533
"עוני והדרה",24,"בדידות ו/או העדר מערכות תמיכה",24,0.045028143,533
"עוני והדרה",23,"קשיים במימון מענים התפתחותיים חינוכיים של בני המשפחה",23,0.04315197,533
"עוני והדרה",6,"חוסר בציוד בסיסי",6,0.011257036,533
"עוני והדרה",6,"קשיים במימון מענים פיזיים ובריאותיים",6,0.011257036,533
"עוני והדרה",4,"בעיות דיור",4,0.00750469,533
"עוני והדרה",1,"קשיים בהשתלבות בקהילה דחיה ע"י אזרחים ו/או הדרה חברתית",1,0.001876173,533
"קשיים ביחסים בתוך המשפחה",140,"קשיים בין הורים לבין ילדיהם",140,0.262664165,533
"קשיים ביחסים בתוך המשפחה",55,"קונפליקט בעוצמה גבוהה על רקע פרוד/גרושין",55,0.103189493,533
"קשיים ביחסים בתוך המשפחה",52,"קשיים ביחסים בין כלל בני המשפחה",52,0.097560976,533
"קשיים ביחסים בתוך המשפחה",51,"ליקוי בתפקוד הורי לרבות קשיים בהשגחה והגנה",51,0.095684803,533
"קשיים ביחסים בתוך המשפחה",32,"חוסר יציבות בהרכב משק הבית",32,0.060037523,533
"קשיים ביחסים בתוך המשפחה",30,"אלימות במשפחה",30,0.056285178,533
