"#Total_Payments_Broto_Meser_MTS_DR_Year_Max","סעיף","תקציב","תכנון","ביצוע"
293440,"הזדקנות מיטבית קהילה 243419",327833.333333333,336585,293440.43
19339,"שירותים לניצולי שואה 243438",47916.666666667,31723.333333333,19339.35
