"מספר מושמים  ברשויות אחרות","מספר מושמים  ברשות הנבחרת","רשות  מסגרת/שלוחה","שם שלוחה","שם מסגרת","סמל מסגרת","תוכנית","סוג מסגרת","סוג סידור","יחידה אחראית","מינהל"
0,10,"גוש עציון"," ","יתד לקידום בתעסוקה",213755,"מרכז הזדמנות","שילוב בתעסוקה","בקהילה","נוער וצעירים","מינהל שלם"
0,12,"גוש עציון"," ","גוש עציון-ט.נוער בהת",206006,"יחידה לטיפול בהתמכרויות","טיפול יום","בקהילה","נפגעי התמכרויות","מינהל שלם"
0,13,"גוש עציון"," ","התמכרויות מבוגרים",221653,"יחידה לטיפול בהתמכרויות","טיפול יום","בקהילה","נפגעי התמכרויות","מינהל שלם"
0,17,"גוש עציון"," ","מטר"א מבוגרים",214729,"מרכז מטרא","טיפול יום","בקהילה","נפגעי התמכרויות","מינהל שלם"
0,9,"גוש עציון"," ","בית חם-גוש עציון",209279,"בית חם","בית חם","בקהילה","נשים ונערות","מינהל שלם"
1,0,"ירושלים"," ","החוט המשולש דירת המש",6870,"דירת מעבר לנערות","דירת המשך","חוץ ביתי","נשים ונערות","מינהל שלם"
1,0,"ירושלים","דירת חרדיות שמורה","גשר לעצמאות אס או אס",10041,"דירת מעבר לנערות","דירת המשך","חוץ ביתי","נשים ונערות","מינהל שלם"
1,0,"ירושלים","חרדיות SOS הרצל","גשר לעצמאות אס או אס",10041,"דירת מעבר לנערות","דירת המשך","חוץ ביתי","נשים ונערות","מינהל שלם"
1,0,"מטה בנימין"," ","דירת מעבר - יתד",12036,"דירת מעבר לנערות","דירת המשך","חוץ ביתי","נשים ונערות","מינהל שלם"
1,0," "," ","דירת צעירים  להטב",13471,"דירת מעבר לנערות","דירת המשך","חוץ ביתי","נשים ונערות","מינהל שלם"
1,0," "," ","דירת מעבר חיפה",14319,"דירת מעבר לנערות","דירת המשך","חוץ ביתי","נשים ונערות","מינהל שלם"
2,0,"מטה יהודה"," ","עמותת קיימא ארגון נו",216326,"מית"ר תעסוקתי","טיפול יום","בקהילה","שיקום הנוער","מינהל שלם"
